date,modality,quality,file_count,total_size
2024-09-25,image,l,3175,4688313592
2024-09-25,image,h,3712,3455206222
2024-09-25,audio,h,3701,158038205
2024-09-25,audio,l,3111,132977088
2024-09-26,image,h,3358,2807595799
2024-09-26,image,l,2106,2342626059
2024-09-26,audio,h,3332,142385150
2024-09-26,audio,l,2063,88067231
2024-09-27,image,h,4188,3358963519
2024-09-27,audio,h,4179,178521729
2024-09-28,image,h,3787,2414304519
2024-09-28,audio,h,3777,161402878
2024-09-29,image,h,2918,1818992000
2024-09-29,audio,h,2912,124378594
2024-09-30,image,h,3520,2389807610
2024-09-30,audio,h,3515,150132998
2024-10-01,image,h,3603,2362513893
2024-10-01,audio,h,3598,153683947
