date,n_images,blur_mean,brightness_mean,contrast_mean,file_size_mean
2024-09-25,6887,6072.049141533925,110.15346351181525,57.28441492421059,93812.45302744301
2024-09-26,5464,3970.7022106343798,112.71408739690376,49.814339417838774,80883.27306002929
2024-09-27,4188,3072.5527352202816,111.78001281024164,54.225789510532,83922.6587870105
2024-09-28,3787,1919.6823291118774,114.84007087306608,53.50602483031678,74161.5806707156
2024-09-29,2918,1748.4916785948076,113.18758514435672,52.17488775325197,73800.9592186429
2024-09-30,3520,2416.3090055985886,109.55332319086249,54.87371171333573,79570.7375
2024-10-01,3603,2195.8024457327497,109.71987329123584,54.17479059810675,77372.42991951152
2024-10-02,3779,1963.6613462498087,112.27081652134302,52.68744931318167,75166.27599894152
2024-10-03,3925,2186.1959635312996,113.13368116439528,53.07089062927635,77398.3192356688
2024-10-04,4287,2165.4564273906303,112.17876085513173,52.28276996643693,77753.52624212737
2024-10-05,4106,2733.7735365000344,106.628045769128,57.43853136323686,82574.93716512421
2024-10-06,3692,2705.9999597286997,105.42330939023233,59.3757665526699,81647.63569880824
2024-10-07,4630,4790.938476035199,107.76617192212758,55.43924880635404,86475.28056155508
2024-10-08,7035,6639.231919052894,104.3228331741409,59.81744823062682,92320.59104477611
2024-10-09,6775,6220.375740944275,108.59458785109854,58.17241270255339,90629.61298892989
2024-10-10,7254,6287.824981394963,103.42981616899203,61.933845050413154,91059.01033912324
2024-10-11,8370,6719.113638097839,105.29227388762516,61.27513365295483,93051.89271206691
2024-10-12,10983,7030.295299683896,103.06296298817122,63.709081959943674,93889.72939998179
2024-10-13,7040,4830.725196907737,111.97302799224853,53.81185304007747,84266.88536931819
2024-10-14,5976,5314.412627591665,111.11963742165521,54.81316721072318,86523.8935742972
2024-10-15,6626,6037.720277702776,107.76502333024172,57.98843540556655,89713.25083006339
2024-10-16,5047,4255.419731900506,108.14585827789095,57.215266009474924,85984.54567069546
2024-10-17,6880,6842.984460209691,106.50417804274448,59.99897960064023,92102.78037790698
2024-10-18,5820,6048.927176175986,106.04430732399328,60.19467147453544,89993.82731958762
2024-10-19,6491,6754.072334464682,105.94559016130019,61.43748937514838,92729.05746418117
2024-10-20,4136,2720.271776387493,107.78252745873692,57.54295393945631,82676.82277562862
2024-10-21,5511,5979.5857422783165,107.31931795699262,58.16675965709406,90079.16784612593
2024-10-22,5540,6263.384358353047,108.16096724017862,57.60035640943782,90860.83501805054
2024-10-23,7420,7561.459285643544,107.18710528885258,59.609204975549744,93663.42264150943
2024-10-24,6559,7977.899150938536,108.18908371178729,59.1288291086673,94482.79371855466
2024-10-25,7016,8222.433210027122,105.88860340183653,61.40239092996482,94044.0267958951
2024-10-26,6382,7856.985775241355,108.89631335259381,59.689780470197455,93775.20354120966
2024-10-27,5691,9058.985765102228,107.4277076466476,62.432243469163204,96410.36689509753
2024-10-28,6019,8212.9189404451,110.6529537460142,57.854509795062626,91375.41734507393
2024-10-29,6169,7393.8794672609365,113.81649722579928,54.6029841941998,86370.99740638677
2024-10-30,5109,6411.398822682131,109.99244408375084,54.366517276580986,87488.91309453905
2024-10-31,5252,6265.647500624297,111.50285841033192,54.46216930438795,84924.09558263519
2024-11-01,3907,1835.1178888653378,113.52516884726883,48.58244688943551,73510.57409777322
2024-11-02,3355,1772.2530484468145,112.68358950664674,51.15265178197187,73355.03934426229
2024-11-03,4892,9144.46983736651,109.68377218924871,61.13976608605436,93033.25102207686
2024-11-04,5489,7458.535784259392,114.44970831138707,55.49960703753365,85514.38258334852
2024-11-05,5399,6145.373445010976,111.84564139388583,55.434634970170215,84240.50639007223
2024-11-06,4902,4536.3327183001675,112.97927556997024,53.21711025798335,79213.6721746226
2024-11-07,3831,5994.3422522249875,112.81295176729836,56.02923600812458,83593.27042547638
2024-11-08,1356,1978.0822689090155,113.30958161593186,53.028626856902356,72429.88716814159
2024-11-09,1391,2071.1143826032867,113.54672700290968,53.974676934358115,73237.31991373113
2024-11-10,1450,1597.2542560445852,118.24158736130286,47.042632601507776,67347.30827586207
2024-11-11,1285,2077.1447654635062,116.10797379193139,46.18636511420461,71689.47315175098
2024-11-12,1415,2189.5709945840463,114.96537319223788,50.33564560960965,69001.33215547704
2024-11-13,1464,1945.2702040125112,113.61057966784702,53.80963719737986,72040.72131147541
2024-11-14,1052,1666.9956972535572,114.67152793144545,50.47923147542395,67825.88688212927
2024-11-15,1512,1784.8666774204798,115.15958652294502,51.63047090156999,69657.82341269842
2024-11-16,1266,1768.02719685101,114.56443077316405,52.08930675151036,70049.37361769352
2024-11-17,997,1900.1295699843672,114.02305760665786,53.53221228321194,72364.83149448346
2024-11-18,1324,1940.3507907556263,114.84604051826223,52.05079555799594,71066.59743202417
2024-11-19,1308,1778.30348466879,113.37790873874583,53.76114453598629,70060.2117737003
2024-11-20,1311,1638.7074790739268,117.62713244195933,47.334182510841536,68266.17315026697
2024-11-21,912,1346.2377494008917,117.0672698020935,46.43949217545359,65229.38048245614
2024-11-22,826,1587.0390129920645,114.51277630785187,43.227715720853276,57757.813559322036
2024-11-23,897,1550.8364170036189,118.19481934512339,46.81282104696319,68019.52508361204
2024-11-24,864,1381.8760285554108,118.74581227479158,46.545656146826566,64555.52662037037
2024-11-25,1262,2263.0694023410415,111.91420244679398,56.30439035866038,70605.30427892234
