date,n_images,blur_mean,blur_p10,brightness_mean,contrast_mean,file_size_mean_img,n_audio,rms_dbfs_mean,rms_dbfs_p10,rms_dbfs_p90,zcr_mean,zcr_std,duration_mean,file_size_mean_aud,has_images,has_audio
2025-02-17,0,,,,,,2287,-59.87826608808791,-64.1004867553711,-54.6547103881836,0.0175310213534368,0.0043393503794356,5.245924209298936,42684.61652820289,False,True
2025-02-18,0,,,,,,2794,-60.26824226870909,-65.05595626831055,-53.973434066772455,0.0201708115226528,0.005539398093927,5.252028871391076,42733.17573371511,False,True
2025-02-19,0,,,,,,2840,-60.16269598007202,-64.73252868652344,-54.31227569580079,0.0229264867585861,0.0062955336730785,5.248680985915493,42706.51408450704,False,True
2025-02-20,2762,141.74814756088955,99.92678982584331,108.3424142619663,51.1795672203604,541643.6267197683,2758,-59.88961487010046,-64.50851440429688,-53.88237991333007,0.0251112683888108,0.0068364444908173,5.248542180323906,42705.41406816534,True,True
2025-02-21,3015,140.1730442456462,96.26923395728863,105.7209779674942,52.649992073726686,554521.5061359868,3259,-59.12873501234824,-63.1014877319336,-54.36431884765625,0.0250647567488676,0.0057940513962112,5.248126214585251,42702.551396133786,True,True
2025-02-22,0,,,,,,4729,-60.0550002721027,-63.973524475097655,-55.05211029052735,0.0329292169469733,0.008828206836032,5.251279199266935,42727.51173609643,False,True
2025-02-23,0,,,,,,4258,-59.7016300525728,-63.61633605957031,-54.99448394775391,0.0356036685083225,0.0084186242816866,5.246452325035228,42689.22076092062,False,True
2025-02-24,2454,1144.7562002374689,781.7836849503447,110.1910679034304,69.37258278460654,1455861.5819070905,5162,-57.65477317306063,-62.16827583312988,-51.92635650634765,0.0346971112437005,0.0097243306064363,5.248663567092858,42706.755327392486,True,True
2025-02-25,2546,1266.9707169783285,817.2221631771145,111.05491211196409,68.04081597695443,1471331.2965435977,5385,-57.20585060261308,-61.48786087036133,-51.69658966064453,0.0385943805867112,0.0092109104893055,5.253254100897554,42743.46053853296,True,True
2025-02-26,0,,,,,,5623,-57.01940254857272,-61.3586181640625,-51.61852188110352,0.0363236758061187,0.0083005771496725,5.247864010907581,42700.41241330251,False,True
2025-02-27,0,,,,,,5174,-56.30505188800766,-60.25391082763672,-51.37385215759277,0.0426564110375909,0.0087958170075362,5.247802216209251,42699.388287591806,False,True
